"Year","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
1982,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1983,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1985,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1986,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1987,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1989,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1990,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1991,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1993,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1994,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,55934.6944266118,36037.5203196601,61728.1339137589,20621.3575232094,11104.1458519292,34207.9304238312,5178.92541498267,0,0,0,0,0,0,0
1997,4069.48115094776,69064.3613892397,36758.2799934538,47946.766566505,12969.602929282,11542.0159373336,14826.9752137856,898.738250756576,0,0,0,0,0,0
1998,15829.8656400383,15282.5169705359,89552.349837032,21323.273792696,28682.0322649312,12393.8252857076,13297.9452205561,5595.11732119429,0,0,557.046933151886,0,0,0
1999,68625.2090882071,35066.8601704733,20553.3014571507,88279.7692522958,18943.9582380142,26412.7980753422,2133.64207176421,6937.47388227358,641.349199308929,0,0,0,0,0
2000,20616.5681904443,107081.652146769,40445.9049089179,10223.6816295206,39246.3355569543,6742.72428064425,8504.48390437778,776.300084985144,824.281546268349,1637.33591405986,0,0,0,0
2001,55056.8523345486,114573.63614828,131326.100770334,43073.3900207293,8288.84607518694,24361.7652056376,3951.57296948706,1437.54210992393,0,250.518394185914,0,0,0,0
2002,14827.0316388247,91694.5205070948,151192.938796072,111166.348468344,33670.2742213591,7914.91605756164,9677.22059130414,1593.92183196552,1408.95235413431,0,0,0,0,0
2003,49022.1214248695,73248.507968327,189359.454731007,176050.160690249,84922.8386445936,21768.040608723,5683.87507019581,2489.96074578746,0,642.408541835947,0,0,0,0
2004,100111.370098197,152088.54565862,41033.2641919841,185052.425591051,112228.394344207,38342.3995683648,10025.5467100673,903.111061028278,2445.84606916189,0,0,0,0,0
2005,8766.98212821204,192871.100517062,131347.755243966,29977.0918972527,130870.737773237,54328.113874993,22042.9435472028,5111.98436161964,0,1143.38354503535,0,0,0,0
2006,15682.4686206431,35508.7677049788,299223.183866603,114492.164663919,24333.5207222015,74728.8086808849,20212.2063015398,7484.42263092889,7417.76247474146,0,0,0,0,0
2007,13587.0536410236,28022.8988291296,53822.9493043888,284782.40069131,75320.3029558543,14514.6737871901,22929.5380316228,9443.70540021664,2038.61768872218,406.048844504971,0,413.730206430616,0,0
2008,21833.6910121238,36137.0011821338,44529.0008337939,75441.0816391341,208736.791424125,25172.2263516464,6069.55400963422,9796.11971733078,1284.9732121045,373.817110758557,0,0,0,0
2009,6386.31467881749,96230.3964141029,57097.6200919457,29355.6939770359,50916.0643407249,130465.923102182,14982.2934147657,2193.42476448134,7178.16608480349,883.371870799958,631.944793703192,211.463527568628,0,0
2010,5369.55511337007,22486.7413174568,102741.627180113,33109.9837674554,18021.9734431918,31852.7968894697,65347.1271872237,9481.62156788069,1658.02706213588,4003.55604295162,306.729643594311,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,8419.80657091915,15468.6760459647,28201.2327864547,42696.4402463924,105732.592944627,19623.7145538862,9282.31238203628,24436.3394496764,29599.6143302335,3018.03578278036,1146.63709944453,1546.38590644954,1074.52130407993,0
2013,20240.478801423,53896.6602786907,34133.2842494423,48094.63215093,66217.121037356,96242.5748129244,16290.2450211245,6247.3741208625,18085.650072396,16664.1435182551,2034.34720177411,0,0,0
2014,6050.46827694046,24666.9192516901,59038.3554471227,34427.7459036084,42991.0976024428,50807.2079443793,70100.9756997151,6684.52586091626,7451.73262934636,13626.8139546729,5072.6118277457,2033.3247322433,0,0
2015,28404.5105547602,23978.3969192244,41111.5856259349,62165.5063271472,30333.9549360897,40648.235611222,31791.035638271,36641.1562267252,8210.6282999888,5191.09291973103,3050.88251488372,4750.01234750183,0,0
2016,12055.5778788012,55900.6847970132,27685.1553343588,29956.6802604578,39926.0191643702,17735.5652163183,20855.474509191,13450.2861809592,11686.2815399266,2464.95026510932,1724.92680627399,3205.89756918363,2508.28929854225,0
2017,19650.8207351726,48247.1798012296,129161.324518446,27970.9370445473,38248.8233732271,34957.1793488398,11262.9262273511,12195.1088699338,9015.5506668121,4390.23691451657,1439.63750547871,634.223268307501,1776.69070454863,1439.63750547871
2018,15545.347972338,38275.4573345402,66130.2818283261,158733.911571079,15356.126698511,19880.9676049913,18072.5395455197,10231.7406056172,8884.6045444423,3483.53691303341,4600.71098616041,1296.43218353156,0,0
