"","Year","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
"1",2012,13776.3402780942,7389.32843887328,8908.86855331666,6992.00367552703,8917.83891310436,532.459107429693,150.387765144158,136.969643409959,89.07525467198,4.72583956040493,2.36291978020246,0,0,0
"2",2013,15011.8457012995,38871.6191236486,11657.4566295358,6679.71192663399,2715.78635807039,1756.98218648704,127.239767494647,62.9371994011351,18.3568788066253,24.0450779973256,2.84409959535016,0,0,0
"3",2014,5621.66899212208,11367.4125032482,18513.1551737255,4209.66288430214,1655.15533599153,386.725795508745,241.793391113864,33.7760359733585,18.5069033672307,0,12.0313618450249,0,0,0
"4",2015,63883.834820513,8149.0213404482,10964.8094775381,8867.2320817571,726.186210201627,282.934467374578,51.5373324600838,24.9221283707758,9.37759690615195,0,4.68879845307597,0,0,0
"5",2016,8672.95490441678,48822.9812528093,7252.41570864426,2264.95986725273,644.920126546344,86.8882353584715,25.0073481821155,0,15.7227678406704,0,0,0,0,0
"6",2017,14912.2002236605,27804.1087817178,59802.4982735322,2051.56067399767,764.285965090052,159.100466913243,14.1521570753038,4.71738569176794,0,0,0,0,0,0
