"Year","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
1982,201.611302132748,289.986329777391,693.52668513161,1281.75580183382,1613.22247193831,2244.85859390094,2865.53240474067,2982.82235201259,3364.34710500144,3743.84675817101,4386.45977235546,5296.78237579174,-1,5240.57723786459
1983,-1,590.562569592636,1031.86129527803,1541.25142812694,2013.86834161835,2348.11591014672,2770.5512064943,3256.484243401,3775.58505844419,4424.07049841469,5026.38737905801,-1,-1,-1
1984,438.476801648235,859.320232298742,952.103457098143,1524.18748440455,2039.33809801144,2622.79307479885,2878.62189994222,3002.88722048753,3825.95335319775,4889.48018732027,4132.95839655452,5003.45649690028,-1,-1
1985,161.223567291392,659.481947408215,1184.41191496486,1749.05348931991,2232.48055149787,2912.37237436614,3383.61284913055,3645.69770608803,3942.80428282712,4746.14983229387,4585.34199772558,4435.66667052565,-1,-1
1986,168.869261609386,249.532286000979,1274.11302065051,1677.69483287297,2336.63884043151,2642.23728513187,3437.33174607009,3450.15102214699,4396.68118478889,3966.11718213054,3403.61661239716,4971.32099337203,4529.39965886496,-1
1987,160.1945596679,448.421688271409,1026.85408111302,1663.89833276338,2354.52672544228,2945.41900717439,3104.46671811742,3149.95011450917,3446.55488585166,3522.9522037781,4972.77648670206,5064.87411073927,-1,3348.85025390426
1988,160.669971038864,353.817134059819,785.29497834654,1454.07791760522,2143.11943443275,2823.15459654508,3588.41701627286,3658.30070307443,4397.80313303189,4433.19361843126,4816.72887002938,4428.25383313593,-1,2676.12917373615
1989,-1,306.32445623612,841.294103535298,1158.07945338363,1967.95067115667,3001.29925176522,3933.57807544838,3863.90743435455,4806.85587930817,4624.31002889469,4913.26816197999,5273.13021186147,5247.78753878752,4523.47027231744
1990,175.842336679895,321.748647188885,687.955911099978,1024.6487041678,1511.27377945783,2442.52900736746,3548.59486373039,3520.31230550438,5017.74414292812,3947.37016997931,-1,5071.92058836123,5163.4465879902,5164.20733326108
1991,164.543097107593,306.225291594811,703.131586333958,977.517846722263,1387.28556203759,1855.65544174458,2744.47081674099,3510.5216871778,4125.80818364231,5217.06143674822,-1,-1,5284.20908109675,-1
1992,184.059751528268,284.974250398134,789.288003148365,1180.76138047532,1487.00760324368,1923.24080808483,2310.65365682063,3111.46065733453,3776.43493419835,4579.68237611776,4822.83421806467,5198.54790731431,-1,-1
1993,158.98437754255,349.756151011304,687.8307233082,1317.50075174241,1885.03954143329,2386.75638197405,3052.06372071118,3150.07253558613,3458.79295905649,3739.08263000212,5240.96464441837,5240.96464441837,4608.13802653986,-1
1994,156.303899891426,345.649324803879,650.762584086352,999.856699594924,1662.68902383668,2267.17824900757,2632.12741646228,3180.72207550719,3042.47613789123,3117.93857765721,3523.93751290942,5191.81047967007,4140.08028456083,-1
1995,162.857663057469,339.29532663542,711.45640391298,1072.61985509421,1297.85616603215,2015.11924741035,2823.67837351374,2918.64523162101,3578.86073532535,2994.37378699046,3200.68545684251,1622.50038830094,3672.89758058111,-1
1996,162.046948850924,327.549561175504,771.845764617476,1149.09614335937,1534.03703970324,1820.75971841344,2618.10281885621,3463.7777861919,3580.83669851398,3634.16128854658,3715.36166258595,3438.55193505788,3343.48054191995,-1
1997,192.443414451854,314.210474324113,664.900291938443,1096.28989655405,1593.64852309566,1902.01152353183,2283.80410301346,2958.76842671757,3410.32996792079,3310.0315583888,3981.21291612592,2587.90219213853,4072.44934679454,-1
1998,201.376638617725,425.185915415256,689.486523094244,1104.37788140095,1643.96475389853,2198.84300937424,2465.89074416239,2797.51329572274,3232.22051516347,3541.84637056143,3572.63642147576,3486.34118880985,3761.30370288965,3951.80543045589
1999,209.467344981436,588.44732323384,890.031136399602,1091.47833787749,1647.42639375028,2202.42025053439,2641.08203435857,2877.30359040817,3189.82679723059,3576.06012315407,-1,-1,2133.21906257086,-1
2000,229.148252959871,500.309326698658,964.277420558058,1315.75127269071,1466.93221186224,2089.65652580494,2648.33062426871,3296.98226847616,3535.18193400393,3652.42718345404,4055.6513962332,5498.66383625739,-1,1629.86903440448
2001,196.182192196348,529.734387773599,927.895223143393,1439.65779921151,1714.01281543456,1808.41148230175,2219.46233372405,2966.80726823134,3289.84190479517,4629.6823068469,3805.81190991275,-1,-1,-1
2002,302.276473490331,519.456208815912,912.503535057951,1250.80806998543,1726.69465859122,2196.49917391972,2204.31754146111,2870.32968798005,3323.72339989603,4006.40708396791,4460.57370102589,4200.08924346091,5262.52614570065,-1
2003,200.168494907173,529.413598305101,902.686874088679,1272.3692893496,1688.93271998525,2265.04920122802,2720.5438237581,2597.53786327704,2794.87423029309,3265.32432697791,4096.70467468176,5238.63204602584,5243.9172963326,-1
2004,186.069256541795,566.407142904077,988.13966042585,1243.77691089705,1557.46018540582,2028.06189815146,2780.38827303727,3096.20476222829,2917.07461761949,3827.70842825618,3105.333144354,2796.25274558559,-1,5167.77377043345
2005,167.259197705951,330.895964395901,871.134597282265,1248.58367323961,1488.71645021362,1898.27332544759,2284.1773941421,2995.21476470134,3175.60206629821,2772.33065558257,1322.83248816454,4163.14996372919,4109.96142578283,-1
2006,181.145907084231,423.162625668902,724.424857890551,1075.02341628985,1472.14440193033,1741.32554467656,2135.71684544668,2534.3803011182,3157.55329133444,3403.05183315064,3516.22716993445,-1,-1,-1
2007,185.217275932594,514.245538872853,732.259790381501,981.675475785612,1336.6862563807,1825.36679993011,2024.84884411076,2335.10346250347,2522.83528035977,2378.61096026614,3344.84918836774,2300.00804930678,3285.1037288811,5024.44880055816
2008,153.57194342461,422.180407053763,627.720398909754,845.202311719337,1111.66252255346,1558.05797992125,2116.46937719084,2385.22725769867,2765.17751252194,2551.44474138957,2814.31356778968,2714.83545742147,-1,-1
2009,183.980431241339,448.766692164972,832.328683000901,948.184991983456,1114.01164576023,1335.15690186964,1728.91616288202,2341.64447991538,2454.81281684401,3052.74766065891,2904.01393262431,3469.8404929669,-1,-1
