"Year","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
2012,130.184834229095,236.825462012988,500.685509598106,774.714497430121,947.819170985337,1000.56067363132,975.213141375104,1021.00106707479,1081.41749339626,1115.03712426337,1115.03712426337,-1,-1,-1
2013,115.356445126645,240.157686972305,583.567173220687,860.44571146936,985.216078474869,1001.68266595493,1014.33947768643,1076.9395629303,900.240205798383,1076.73257371634,1116.77573139967,-1,-1,-1
2014,81.5233274178612,243.063075464202,583.880447497444,851.47434807794,985.419777647875,981.444391558371,1089.1664071414,1039.29175132964,1046.59594492522,-1,1004.11601777733,-1,-1,-1
2015,91.3674360987893,290.715644613596,624.295038851793,916.482055272733,1013.08316503529,1050.37698588922,1015.65157474656,1040.20474402237,1116.38198573606,-1,1116.38198573606,-1,-1,-1
2016,115.152724439091,192.457417742197,678.184736522173,910.69433758544,1017.07334205271,1056.00966327765,1118.5393624614,-1,779.537172153327,-1,-1,-1,-1,-1
2017,109.47040855264,211.570885522794,487.06960718732,934.178247882362,981.856612479088,882.091162540962,1119.72408821202,1119.72408821202,-1,-1,-1,-1,-1,-1
