"Year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25"
1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,NA,NA,27.5,NA,31.5,NA,35.5,NA,40,NA,42.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,22.7915077658207,NA,27.634819665631,30.4505633240507,31.0036970905443,31.511379732898,42.485809758361,36.7969956702163,NA,47.3842941273287,39.9747457489075,42.485809758361,NA,42.893998247096,NA,NA,NA,NA,51.5305433764525,47.3842941273287,48.8577898679122,NA,NA,NA,NA
1997,NA,29,NA,NA,31.5968611099368,NA,NA,35.4534067192877,NA,NA,39.4798176258506,NA,43.4800175583064,NA,NA,47.4161708162554,NA,NA,51.1321703409697,NA,NA,54.6026504762565,NA,NA,NA
1998,24,24,29.6613594003683,33.9272024223843,34.9465475217811,35.3766728775258,35.7992929883161,38.9808485591892,NA,39.410494428792,NA,39.410494428792,41.9779462236735,45.3876274596492,43.4894806362579,NA,51.2118275643919,NA,43.4894806362579,55.0313867433063,NA,NA,NA,NA,NA
1999,29,NA,NA,31.8484599662162,NA,NA,35.5410752617651,NA,NA,NA,39.5122271919718,NA,NA,43.4944076674059,NA,NA,NA,47.4642105567805,NA,NA,NA,51.4564635075083,NA,NA,54
2000,20.714601575947,NA,26.7089443851578,29.8864798903915,31.5545999812225,36.8937625102822,36.1214700734757,38.0258349369023,40.0263127840358,42.8184833595566,45.977248401597,42.9806725054215,45.3311997458095,43.5051853734124,54.6765606446014,51.2143825131017,NA,43.5051853734124,43.5051853734124,NA,NA,NA,NA,NA,NA
2001,20.6331877729258,24.8275083630701,NA,27.7945019349366,31.6495244453101,NA,35.50235645781,NA,39.3666913415444,43.4983895521659,NA,47.5069842673984,NA,50.9143316888781,54.4625284241559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,26.1327838939467,31.6067680252634,NA,NA,NA,35.5669387863474,NA,NA,NA,39.5342791820414,NA,NA,43.4648425405726,NA,NA,NA,47.3030278381392,NA,NA,51.072044881338,NA,NA,NA,55.0635112442609,NA
2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,24.2629729768933,NA,30.6391522461875,31.7756069926874,34.2088007618021,36.0135885185406,38.2365640875181,37.911770968387,39.4991210513431,39.4991210513431,43.6684406294533,NA,43.4377020851532,NA,43.4377020851532,39.4991210513431,51.2287566922915,46.1070476538687,NA,54.6270430828083,NA,NA,NA,NA,NA
2005,15,28.0107583174371,29.7005575115046,31.7140062900132,33.9982888282636,35.136883493119,36.5882006034911,38.5643372540531,38.2530291045551,40.4430148307147,40.135147198864,41.5687802941918,44.1665690022365,39.4314616633962,44.1556563398811,44.5273943337342,50.623956663178,46.5055865973642,48.3844013975459,47.4769227928641,47.744303180985,51.2928052114381,51.2928052114381,NA,NA
2006,NA,NA,29.7609629496472,33.680879421971,35.5365524141849,36.5197054796438,38.2669954303558,39.5274156160431,39.3416580419276,41.6483494073056,41.0866959394208,46.5330926016607,41.8505489435702,45.2818565321584,43.4061047181443,NA,NA,NA,NA,NA,47.4734469293227,NA,NA,NA,NA
2007,21.6311952891702,25.2296173443023,28.7238137945707,31.3469866737883,33.8730597979844,35.8480198744685,36.2330126365833,37.7422837897662,38.9045537445635,39.788702705406,40.9444876394897,42.1264986253284,44.0311899729945,45.3595191431019,46.5382865964213,46.511645005424,48.7888010404187,46.195378653682,48.2510136860159,48.7888010404187,47.4853428148549,47.4853428148549,49.4014084323354,NA,47.3940933976121
2008,NA,27.2249909920246,28.9021742577913,31.8530037723875,33.720241610653,36.1108100530615,36.7230386118644,38.6338878859348,39.814615558092,40.3172835499337,42.1352870052387,42.4847473917333,42.2653756610712,40.8352446389937,46.4090111248547,45.0841148754091,47.7864217443432,45.7616527899542,45.7734794120808,47.4467401750631,51.2735857193279,NA,NA,48.1638009272903,NA
2009,13,NA,28.2364528195097,31.3155810129142,34.6777629777104,36.1177093817366,37.8306410860438,38.8840701143408,40.4012384842237,42.2641647467895,40.8386487511228,43.0825426879291,43.2239396970936,44.5035217764451,46.3116295883503,43.4692117358299,NA,45.7851909678531,NA,49.7264100482901,47.4150064325221,NA,NA,NA,NA
