"Year","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
1982,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1983,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1985,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1986,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1987,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1989,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1990,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1991,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1993,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1994,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1995,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1996,100765.173472832,21040.9473361091,20219.6901437454,4236.72887787638,2863.4200197936,5517.55426349105,440.796883289216,16.213390112433,7.44773201729408,6.2640460603991,3.45090797340557,1.25843768784439,0.102984550924335,0
1997,13225.7770945226,61764.0840043111,9383.01786508604,11098.3338901788,2223.56088923693,1681.86527718191,1145.28592570943,23.8209814539101,1.92994193343873,0.351212742515719,0.374622244338617,0.904740919409175,0.0961864771703553,0
1998,23935.2536324783,13092.1364499857,32820.1722323921,4487.07569017992,3625.17383609336,1181.09739911179,1062.72486708767,283.740136224862,6.05449729878737,0.156372919281894,0.341405386151166,0.132995694780045,0.0746796172365017,0.110692724038137
1999,90747.5343261586,36747.1384937024,9516.30842925898,18293.262550446,2587.83852815547,2239.45560387489,60.8694735586814,610.091000744895,37.2315451483076,4.15575211050161,0,0,0.125618003393775,0
2000,35285.5183911362,83559.7441119981,18980.4865389309,3543.0184773636,8689.76358138679,869.702747413634,1019.23925503163,48.564297932326,241.18261498473,127.864978927613,1.58891877495031,0.0974838119985536,0,0.202634561745933
2001,91358.9615963064,85324.9110361524,40166.6642811523,10983.0002099252,642.123376211025,2873.59126433965,62.0658030806295,277.142832512347,17.3399093178497,75.2077062640465,11.5259870400806,0,0,0
2002,13434.1669489559,79442.7914855888,61772.156973367,26388.5185345177,5684.14748291399,1099.79968695979,838.490776387484,181.220539650589,15.5482224914007,4.67251497751993,4.24270415505353,2.07920598712872,0.324670965068097,0
2003,75515.159772049,35263.2257899626,93370.4400841051,41002.5007217378,13457.5675454949,1923.40229316963,680.496036420718,215.431307447035,15.5714754059994,21.8633798626611,2.34212344996796,4.03145556255935,2.08229723328894,0
2004,172029.74023747,98969.7218571671,11704.6620124137,51331.789038081,17636.7626709411,3174.04335872415,1081.72657492084,137.049365538939,98.7276552916203,1.58022347143502,1.13213415420151,0.452531667117178,0,0.1097477188958
2005,14101.8701117896,177499.305960894,49381.3149410661,7158.27037571088,31093.5620806134,8283.61610651126,1910.27553811671,388.584499606788,4.29528467118422,68.6496911570439,0.197678758272012,0.15681202848559,0.0703616636781745,0
2006,16617.9859144416,42041.5281422654,167852.597664449,31138.7134728022,3973.82569778739,12458.8442251014,2220.8855892664,713.019038464852,301.115503607482,7.28238869295539,8.03701251840357,0,0,0
2007,21729.1027191608,16904.7708878108,34470.2668669908,107324.161093793,16698.7805577558,1920.98041646605,3547.15428889427,881.212724550934,132.577375471481,1.23817566973489,2.31386905098959,0.609385244730152,1.20875823762801,1.98625726580553
2008,56833.6768607613,28071.5864199589,19180.7487572101,32359.7195524694,69391.1960096238,5505.65071413761,1087.85121992906,909.384419296414,99.8694298844362,3.31376986006201,0.376193417004616,0.118586512155191,0,0
2009,11342.9146030357,91284.3711831357,15775.8412272741,8028.42072576662,17218.57236684,29364.1247498664,3216.44238827219,338.512745313839,531.562065843598,146.213312866839,122.362966011695,11.8009026913082,0,0
2010,10748.1987530006,21206.4496811812,49874.9022264657,7262.91436181468,3561.79884537361,8339.5905019722,12344.475742755,1457.54863968422,129.753257310449,247.244098759908,1.53207827155219,0.45555345791562,0,0
2011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2012,15443.081261951,8743.47411660332,12248.4599709765,12559.6292736139,21040.1315228641,1770.02723717196,646.888404827321,2816.25648414855,2914.71877767498,262.305386533215,44.9806902036886,158.357123563436,100.735525900982,0.0334599020461699
2013,23510.5085710812,35581.4247944879,11804.4909650765,12737.6334448695,12396.5540047626,13244.616830364,1407.70056820484,450.567859349256,1520.66907414053,1210.05189066158,192.939611239371,1.67269461263387,0.548533279885464,0.271415418981638
2014,8828.88779573758,12122.8540969886,20365.8990404102,6266.78942800511,7233.13590195803,6516.870701866,6648.11168714938,620.562942343406,188.13207864401,778.69284917308,362.127136804732,131.784616983218,0.420466079422121,0.68605446989651
2015,54238.9910276681,8303.383246844,11850.9273352934,17378.5305780226,4945.83496631753,6489.28568833289,3054.09971968579,3398.94456396151,471.650489443615,192.126371578726,167.551710275273,262.242228628359,0.228693166361766,0.263881523237544
2016,13336.4250873227,45512.0543181514,6836.04600731836,5094.77156817459,7292.68187533973,1990.326898511,2499.2198540086,1188.98885396835,946.458581094913,249.044268709557,147.02992105114,202.852036592333,199.417717497894,0.477116974070379
2017,21543.2067399086,26542.5879518602,59116.4635357792,3998.235678079,5944.6949200412,4927.12785662902,1135.408744538,1241.97997438183,682.257134042698,221.155581158829,49.1677642531046,74.8577626764667,197.545384359235,94.2807157608976
