"Year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
1982,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1983,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1985,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1986,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1987,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1989,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1990,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1991,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1993,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1994,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1995,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1996,-1,24.8417926522141,74.4213317154401,185.369581432918,209.088831238954,351.22525348274,591.389256527657,810.632728219168,764.942338400934,1219.73848105078,1565.21685797781,-1,1611.75114769621,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1997,5.78655002425684,16.1233427733148,35.3422171406405,69.5293134450078,121.150717773262,183.94594485299,271.718075158057,482.123275046496,723.198065462958,965.030628501341,1160.85300086916,1396.27967795341,1851.49230010138,1423.15816712675,3306.09781596242,3650.43245616793,1949.17853467452,1318.80300088536,-1,-1,-1,-1,-1
1998,12.4359557099478,47.1935973653203,83.7113653277715,123.701647674306,190.337244327402,246.534580484169,473.417397239857,793.653740100202,1042.60583548384,1148.3965453642,1324.80722783643,1852.01145739129,2215.60816164425,1135.38600157369,2568.81077656838,-1,-1,-1,-1,-1,-1,-1,-1
1999,9.90084314500231,45.1394985772968,90.6807104859212,130.615093174462,196.267552339727,326.420337420519,393.57356112938,510.169081923321,866.054670067696,992.504760121073,1014.54757649462,895.479277645408,1668.85423238173,1690.60438177123,3433.56362713288,3600.04474190323,8473.64504251794,838.066438621483,-1,1358.88294187821,-1,-1,6588.93917873934
2000,17.7224183369259,26.7716230206323,67.7385199064445,114.94247798859,211.096236774162,322.082492418343,430.242236491803,506.089539521368,653.310745873916,766.498120652204,1200.80003827152,1229.84013524956,1394.36694925463,1825.26497859476,1741.03191884197,-1,778.25797838391,-1,-1,1917.2936575506,-1,-1,-1
2001,16.2860169437798,43.3685078300442,98.7683047158781,202.545888735154,311.367804240495,336.450170132845,619.608293163828,519.236909513968,964.031624460401,1045.60837283757,2536.47316026788,2309.58625203739,2345.35860630544,1687.31858620341,5067.07959655486,6955.80566453398,1385.56770711954,-1,-1,-1,-1,-1,-1
2002,18.0248380494922,51.2479073869882,121.241681510214,294.724417989813,389.249551064289,451.786199230004,598.436145559173,791.636711239081,944.697836367058,1721.63733907479,1709.01588919157,2870.9693973426,1679.82010031619,1603.19820859022,2836.7811366092,5182.88776224746,-1,-1,3313.5596468766,-1,-1,-1,-1
2003,16.7770430431815,35.1831063393316,75.5270460075016,124.304795961287,218.947429936908,402.123723267409,722.384183964908,700.42515802532,1048.022324242,1276.82706809647,1161.24133327119,1773.19614498725,1689.41403411528,2678.18714298862,2935.16869615643,1209.96154133128,-1,-1,-1,-1,-1,-1,-1
2004,28.1972151519714,67.0476396284099,65.6357557482876,148.998223389294,264.457266380192,400.02954530816,659.009080037376,733.518315916232,933.949008676283,1012.27455665256,1985.68325706237,1422.90597077472,1692.97527754038,2067.82320743132,2001.63831380215,4597.69581021389,5511.33097881367,-1,-1,-1,-1,-1,-1
2005,43.9575466004397,30.6552024863677,88.2739736960971,147.62790930907,249.82026768085,462.740235801994,762.523765582551,838.938486249224,1209.70469353551,1336.41076991975,1428.77207741483,1714.18229238089,2022.42217562465,1657.1098574511,2567.87655993308,3387.85627066745,2709.52475401236,-1,4752.71036215873,-1,-1,-1,-1
2006,16.6355378700325,36.1409644372341,85.2441385463549,129.106381274036,212.760924975446,383.080987689125,527.455469874509,1061.40079708777,898.70347709671,810.058003520002,1278.63858638697,1116.14503128825,1389.30480817775,1789.17760650525,1841.43269527871,2420.64725664749,5657.07073052499,2738.64238495463,1756.92254249007,-1,-1,-1,-1
2007,17.6298555555103,49.8381905212806,71.0971721882081,150.070585560566,226.519210292663,352.93741969729,528.292845466457,1214.64857569506,968.549153406383,1625.09933401672,1825.27874804091,1937.65095284176,2824.16824387602,1895.78708949204,3193.562434183,3439.39183363512,2722.02986381163,2722.02986381163,1782.63837167505,-1,-1,-1,-1
2008,17.454667845778,51.6134657397045,67.1784606808805,160.468545507917,316.760869048828,480.991002097049,717.939783286691,888.835423279773,1377.12501321273,1550.48314470287,2229.9857384727,2563.80120211472,2700.8334819664,1725.76105867618,2585.4166959544,3111.54246636914,1644.01111734442,2709.15642748675,3290.45985704011,-1,-1,-1,-1
2009,24.2636777705089,42.0820726469266,80.0352252671925,116.404159388029,148.869986909692,264.910940696924,440.324740935679,694.169421308413,1354.52441179439,1349.8777716695,1781.94497274891,2640.38050483418,3595.55769395424,2615.38682085428,2067.50069990594,3365.41899208762,3358.67290659743,1775.16757652452,-1,-1,-1,2194.30492626352,-1
2010,17.5689594413609,45.3256947559146,87.9176625492346,122.432595753739,180.780601155312,274.346201687444,753.980490682466,682.953373069877,1250.13589419296,1224.07129569268,1544.97081486232,1072.8644283512,1481.01521397806,2687.01436553653,2866.57485047919,2120.46505976777,3789.90541409514,-1,-1,-1,-1,-1,-1
2011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2012,22.3470595780896,61.4970333797137,115.12669983371,158.902252329525,225.968702752059,333.975657375169,478.277216036479,1209.68086285451,716.423964462346,1562.36873691015,1373.12697618056,1644.79092430365,2272.77800517589,2277.31108554442,3607.66257765895,2224.78354098787,6148.89380629255,7571.33919136318,2083.20536897872,3988.6634686076,-1,-1,-1
2013,28.8876046909337,52.2680744337617,167.128354866103,281.137790812192,248.291210469747,450.940026526869,532.313010953409,990.864216400294,1192.12385369341,1604.92108991596,1697.02239073784,1750.29585774399,2980.19850783777,2428.79844615997,2184.64122250555,4553.06014636895,4125.57098413703,-1,5446.66183097936,-1,4848.39058395167,-1,-1
2014,42.0504933976027,36.4163844097931,102.571366828202,186.425148067659,305.593191353771,340.548939302086,570.36222131638,862.909788319912,1133.55194741958,1641.91003724287,1362.43343260262,2168.2531922739,2192.81164241878,3336.5236463843,-1,3377.33740402455,2712.69533492841,8709.76259158958,-1,-1,3377.33740402455,-1,-1
2015,4.3989030653296,32.6546494866264,60.230038942188,117.96677949055,202.816915840969,369.088018373928,473.350509626515,609.041277266059,676.700946455503,1256.10993529156,1612.53707790308,1899.72205601147,2043.35109486645,2360.60783386571,3570.11739872301,2570.91383744614,3599.1522567791,7144.96326075514,-1,2205.5926104999,-1,-1,-1
